base_date,emd_nm,averageTemperature,lowestTemperature,lowestTemperatureTime,highestTemperature,highestTemperatureTime,dailyRainfall,maximumWindSpeed,maximumWindSpeedTime,averageWindSpeed,maximumWindSpeedDirection
2019-09,중앙동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,천지동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-09,추자면,22.79,21.130000000000003,979.6,24.916666666666668,1273.6666666666667,5.533333333333333,10.623333333333333,1012.1,4.153333333333332,115.51000000000005
2019-09,표선면,23.419999999999995,20.79666666666667,1115.9,26.576666666666668,1140.4666666666667,17.816666666666666,8.673333333333336,1282.8,3.2633333333333345,113.34666666666665
2019-09,한림읍,23.396666666666665,20.500000000000004,871.7,26.829999999999995,1205.5666666666666,16.583333333333332,10.866666666666669,1245.9333333333334,3.193333333333334,95.79666666666668
2019-09,화북동,22.78666666666667,19.739999999999995,917.0,26.386666666666667,1197.3333333333333,24.2,9.783333333333337,1267.4333333333334,2.3400000000000003,118.38000000000001
2019-09,효돈동,24.05666666666667,21.386666666666663,920.6666666666666,27.410000000000007,1168.6,18.1,10.006666666666664,1134.4,3.083333333333334,133.60333333333332
2019-10,건입동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,구좌읍,19.12666666666666,15.803333333333336,1176.2,22.000000000000004,1170.0666666666666,5.3,11.623333333333333,1238.5666666666666,4.976666666666665,183.44666666666666
2019-10,남원읍,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
2019-10,노형동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,대륜동,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
2019-10,대정읍,19.054838709677416,15.535483870967745,1132.225806451613,22.954838709677418,1234.0,4.548387096774194,10.941935483870969,1258.1612903225807,3.9838709677419355,240.39999999999998
2019-10,대천동,17.838709677419352,14.545161290322582,1263.8064516129032,21.922580645161283,1208.1935483870968,4.387096774193548,9.93225806451613,1134.967741935484,3.0354838709677416,163.2806451612903
2019-10,도두동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,동홍동,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
2019-10,봉개동,17.446666666666665,14.413333333333332,1310.9,20.669999999999998,1168.0666666666666,8.25,8.023333333333333,1146.8,2.963333333333333,188.44666666666672
2019-10,삼도1동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,삼도2동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,삼양동,17.446666666666665,14.413333333333332,1310.9,20.669999999999998,1168.0666666666666,8.25,8.023333333333333,1146.8,2.963333333333333,188.44666666666672
2019-10,서홍동,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
2019-10,성산읍,18.58387096774193,14.961290322580643,1191.3870967741937,22.645161290322577,1163.2903225806451,9.435483870967742,8.780645161290325,1264.8064516129032,3.4935483870967743,175.0258064516129
2019-10,송산동,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
2019-10,아라동,15.283870967741937,11.683870967741937,1139.774193548387,19.403225806451616,1101.9354838709678,10.53225806451613,7.690322580645161,1257.7096774193549,2.1709677419354834,180.7064516129032
2019-10,안덕면,17.838709677419352,14.545161290322582,1263.8064516129032,21.922580645161283,1208.1935483870968,4.387096774193548,9.93225806451613,1134.967741935484,3.0354838709677416,163.2806451612903
2019-10,애월읍,15.587096774193547,11.938709677419356,1188.774193548387,19.65806451612903,1172.8064516129032,7.306451612903226,8.322580645161288,1202.8064516129032,2.1290322580645165,94.70322580645163
2019-10,연동,18.566666666666666,14.625925925925927,1262.2962962962963,22.42222222222223,1227.3333333333333,6.666666666666667,8.988888888888892,1282.148148148148,2.3370370370370375,158.14074074074077
2019-10,영천동,19.532258064516128,15.496774193548388,923.1612903225806,23.938709677419357,1262.5483870967741,7.274193548387097,10.083870967741932,1269.5806451612902,3.1903225806451605,120.07741935483871
