,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
91,2018,02,02,6,W6Y,제주특별자치도,서귀포시,20266550,3.4,6276,3.48
92,2018,02,03,7,W6Y,제주특별자치도,서귀포시,17710900,2.97,5319,2.95
93,2018,02,04,1,W6Y,제주특별자치도,서귀포시,16879900,2.83,5261,2.92
94,2018,02,05,2,W6Y,제주특별자치도,서귀포시,19053050,3.2,5832,3.24
95,2018,02,06,3,W6Y,제주특별자치도,서귀포시,18629800,3.12,5703,3.16
96,2018,02,07,4,W6Y,제주특별자치도,서귀포시,21401300,3.59,6438,3.57
97,2018,02,08,5,W6Y,제주특별자치도,서귀포시,18790850,3.15,5644,3.13
98,2018,02,09,6,W6Y,제주특별자치도,서귀포시,21451600,3.6,6353,3.52
99,2018,02,10,7,W6Y,제주특별자치도,서귀포시,20394350,3.42,6001,3.33
100,2018,02,11,1,W6Y,제주특별자치도,서귀포시,20896000,3.5,6291,3.49
101,2018,02,12,2,W6Y,제주특별자치도,서귀포시,20104200,3.37,5991,3.32
102,2018,02,13,3,W6Y,제주특별자치도,서귀포시,24702750,4.14,7472,4.15
103,2018,02,14,4,W6Y,제주특별자치도,서귀포시,25891650,4.34,7802,4.33
104,2018,02,15,5,W6Y,제주특별자치도,서귀포시,29474300,4.94,9592,5.32
105,2018,02,16,6,W6Y,제주특별자치도,서귀포시,16521800,2.77,5740,3.18
106,2018,02,17,7,W6Y,제주특별자치도,서귀포시,21398600,3.59,6575,3.65
107,2018,02,18,1,W6Y,제주특별자치도,서귀포시,22753250,3.82,6866,3.81
108,2018,02,19,2,W6Y,제주특별자치도,서귀포시,21951200,3.68,6607,3.67
109,2018,02,20,3,W6Y,제주특별자치도,서귀포시,23766200,3.99,6931,3.85
110,2018,02,21,4,W6Y,제주특별자치도,서귀포시,22050200,3.7,6568,3.64
111,2018,02,22,5,W6Y,제주특별자치도,서귀포시,22473150,3.77,6651,3.69
112,2018,02,23,6,W6Y,제주특별자치도,서귀포시,21878650,3.67,6529,3.62
113,2018,02,24,7,W6Y,제주특별자치도,서귀포시,23512350,3.94,6790,3.77
114,2018,02,25,1,W6Y,제주특별자치도,서귀포시,21426450,3.59,6581,3.65
115,2018,02,26,2,W6Y,제주특별자치도,서귀포시,23112000,3.88,6987,3.88
116,2018,02,27,3,W6Y,제주특별자치도,서귀포시,23156250,3.88,6889,3.82
117,2018,02,28,4,W6Y,제주특별자치도,서귀포시,15021450,2.52,4067,2.26
118,2018,03,01,5,W6X,제주특별자치도,제주시,69382250,3.86,28212,3.71
119,2018,03,02,6,W6X,제주특별자치도,제주시,58841150,3.27,24379,3.21
120,2018,03,03,7,W6X,제주특별자치도,제주시,58936400,3.28,24346,3.2
121,2018,03,04,1,W6X,제주특별자치도,제주시,71134400,3.96,29259,3.85
122,2018,03,05,2,W6X,제주특별자치도,제주시,53196050,2.96,21612,2.84
123,2018,03,06,3,W6X,제주특별자치도,제주시,65961200,3.67,27410,3.6
124,2018,03,07,4,W6X,제주특별자치도,제주시,41216300,2.29,17285,2.27
125,2018,03,08,5,W6X,제주특별자치도,제주시,60532100,3.37,25020,3.29
126,2018,03,09,6,W6X,제주특별자치도,제주시,57705250,3.21,24256,3.19
127,2018,03,10,7,W6X,제주특별자치도,제주시,56805550,3.16,23608,3.1
128,2018,03,11,1,W6X,제주특별자치도,제주시,69137050,3.85,28659,3.77
129,2018,03,12,2,W6X,제주특별자치도,제주시,60535450,3.37,25444,3.35
130,2018,03,13,3,W6X,제주특별자치도,제주시,60215550,3.35,25754,3.39
131,2018,03,14,4,W6X,제주특별자치도,제주시,57624900,3.21,25121,3.3
132,2018,03,15,5,W6X,제주특별자치도,제주시,44240150,2.46,18584,2.44
133,2018,03,16,6,W6X,제주특별자치도,제주시,59247600,3.3,25306,3.33
134,2018,03,17,7,W6X,제주특별자치도,제주시,58949450,3.28,24866,3.27
135,2018,03,18,1,W6X,제주특별자치도,제주시,69325150,3.86,29262,3.85
136,2018,03,19,2,W6X,제주특별자치도,제주시,53871350,3.0,22329,2.94
137,2018,03,20,3,W6X,제주특별자치도,제주시,41478800,2.31,17207,2.26
138,2018,03,21,4,W6X,제주특별자치도,제주시,54909900,3.05,22639,2.98
139,2018,03,22,5,W6X,제주특별자치도,제주시,63977700,3.56,26696,3.51
140,2018,03,23,6,W6X,제주특별자치도,제주시,55272650,3.07,23541,3.1
141,2018,03,24,7,W6X,제주특별자치도,제주시,56878250,3.16,24014,3.16
142,2018,03,25,1,W6X,제주특별자치도,제주시,67205100,3.74,28695,3.77
143,2018,03,26,2,W6X,제주특별자치도,제주시,58181900,3.24,25060,3.3
144,2018,03,27,3,W6X,제주특별자치도,제주시,57170150,3.18,25277,3.32
145,2018,03,28,4,W6X,제주특별자치도,제주시,55973250,3.11,24841,3.27
146,2018,03,29,5,W6X,제주특별자치도,제주시,55026200,3.06,24819,3.26
147,2018,03,30,6,W6X,제주특별자치도,제주시,50526550,2.81,22947,3.02
148,2018,03,31,7,W6X,제주특별자치도,제주시,54184600,3.01,23918,3.15
149,2018,03,01,5,W6Y,제주특별자치도,서귀포시,26903050,4.06,8018,3.97
