base_date,emd_nm,disQuantity,disCount
18-Dec,이호동,19448250,7607
18-Dec,일도1동,27655400,8434
18-Dec,일도2동,167883700,71502
18-Dec,조천읍,,
18-Dec,한경면,,
18-Dec,한림읍,,
18-Dec,화북동,117054450,55753
19-Jan,건입동,37850850,15512
19-Jan,구좌읍,,
19-Jan,노형동,249427250,110767
19-Jan,도두동,13117750,4961
19-Jan,봉개동,13358900,5111
19-Jan,삼도1동,68182950,29007
19-Jan,삼도2동,40185850,18423
19-Jan,삼도동,,
19-Jan,삼양동,66600150,28445
19-Jan,아라동,115717700,50759
19-Jan,애월읍,6637900,3217
19-Jan,연동,220683350,97548
19-Jan,오라동,59998400,24476
19-Jan,외도동,103025450,45492
19-Jan,용담1동,36058500,14202
19-Jan,용담2동,61051550,27025
19-Jan,이도1동,50143400,19365
19-Jan,이도2동,212474050,89181
19-Jan,이호동,18453950,7513
19-Jan,일도1동,27507200,8347
19-Jan,일도2동,161392700,68995
19-Jan,조천읍,,
19-Jan,한경면,,
19-Jan,한림읍,,
19-Jan,화북동,111658150,53784
19-Feb,건입동,38917150,15016
19-Feb,구좌읍,,
19-Feb,노형동,241524500,106301
19-Feb,도두동,12637600,4811
19-Feb,봉개동,13392550,4912
19-Feb,삼도1동,66240200,27977
19-Feb,삼도2동,39954050,17961
19-Feb,삼도동,,
19-Feb,삼양동,65570700,27481
19-Feb,아라동,110641400,47330
19-Feb,애월읍,5964650,2883
19-Feb,연동,208110550,90628
19-Feb,오라동,57964700,23613
19-Feb,외도동,98828850,42871
19-Feb,용담1동,34684250,13746
19-Feb,용담2동,58720750,26303
19-Feb,이도1동,43293650,17725
19-Feb,이도2동,200629800,83076
19-Feb,이호동,18158850,7330
19-Feb,일도1동,24999150,7660
19-Feb,일도2동,158584050,66220
19-Feb,조천읍,,
19-Feb,한경면,,
19-Feb,한림읍,,
19-Feb,화북동,109614050,51898
19-Mar,건입동,36187950,15050
19-Mar,구좌읍,,
19-Mar,노형동,239329750,109165
19-Mar,도두동,13057450,4830
19-Mar,봉개동,12783200,4943
19-Mar,삼도1동,65002250,28023
19-Mar,삼도2동,39734200,18868
19-Mar,삼도동,,
19-Mar,삼양동,64121950,27938
19-Mar,아라동,110131650,49534
19-Mar,애월읍,6349200,3097
19-Mar,연동,207757950,93637
19-Mar,오라동,58569600,24667
19-Mar,외도동,98102400,44965
19-Mar,용담1동,34963850,13962
19-Mar,용담2동,57964450,26513
19-Mar,이도1동,45922900,18525
19-Mar,이도2동,199054800,85996
19-Mar,이호동,17764650,7447
19-Mar,일도1동,26563100,8211
19-Mar,일도2동,151917100,66675
19-Mar,조천읍,,
19-Mar,한경면,,
19-Mar,한림읍,,
19-Mar,화북동,106455700,52977
19-Apr,건입동,34075650,15117
19-Apr,구좌읍,,
19-Apr,노형동,227360550,108949
19-Apr,도두동,13413850,5113
19-Apr,봉개동,12008350,4895
19-Apr,삼도1동,61311550,27711
19-Apr,삼도2동,38030100,18399
19-Apr,삼도동,,
19-Apr,삼양동,59495500,27584
19-Apr,아라동,102287850,49026
19-Apr,애월읍,6046000,3088
19-Apr,연동,198301400,94204
19-Apr,오라동,54465600,24462
19-Apr,외도동,92796950,45067
19-Apr,용담1동,32784200,13886
19-Apr,용담2동,56168050,26547
19-Apr,이도1동,42980700,18374
19-Apr,이도2동,186193950,84951
19-Apr,이호동,17394850,7555
19-Apr,일도1동,25909450,8124
19-Apr,일도2동,140406100,66030
19-Apr,조천읍,,
19-Apr,한경면,,
19-Apr,한림읍,,
19-Apr,화북동,99405550,52698
19-May,건입동,37694450,17402
19-May,구좌읍,,
19-May,노형동,240509650,120873
19-May,도두동,14219150,5755
19-May,봉개동,13078450,5643
19-May,삼도1동,63462850,31270
19-May,삼도2동,38305200,19575
19-May,삼도동,,
19-May,삼양동,67081950,32620
19-May,아라동,113478049,56246
19-May,애월읍,7679450,4200
19-May,연동,210910350,105856
19-May,오라동,58424750,27716
19-May,외도동,99675250,50798
19-May,용담1동,32035700,15092
19-May,용담2동,60433150,30473
19-May,이도1동,46250150,20770
19-May,이도2동,197467150,95647
19-May,이호동,19035650,8547
19-May,일도1동,26506950,9146
19-May,일도2동,150041000,74952
19-May,조천읍,,
19-May,한경면,,
19-May,한림읍,,
19-May,화북동,110072650,61341
19-Jun,건입동,38959300,18560
19-Jun,구좌읍,,
19-Jun,노형동,249771700,128282
19-Jun,도두동,14928650,6168
19-Jun,봉개동,14280100,6288
19-Jun,삼도1동,66023250,33256
19-Jun,삼도2동,42470250,21927
19-Jun,삼도동,,
19-Jun,삼양동,72513650,35008
19-Jun,아라동,113778750,57400
19-Jun,애월읍,9119450,4870
19-Jun,연동,218907700,111419
19-Jun,오라동,60701300,29322
19-Jun,외도동,104250600,54073
19-Jun,용담1동,33602700,16284
19-Jun,용담2동,62716200,32685
